127.0.0.1 - - [21/Sep/2022:18:11:16 +0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:11:23 +0500] "GET /week2lab/helloworld HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:11:24 +0500] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:11:26 +0500] "GET /week2lab/helloworld HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:16:29 +0500] "GET /week2lab/index.jsp HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:17:36 +0500] "GET /week2lab/index.jsp HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:17:38 +0500] "GET /week2lab/index.jsp HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:17:38 +0500] "GET /week2lab/index.jsp HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:17:57 +0500] "GET /week2lab/helloworld HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:18:07 +0500] "GET /week2lab/helloworld HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:19:39 +0500] "GET /week2lab/helloworld HTTP/1.1" 200 1734
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:22:05 +0500] "GET /week2lab/helloworld HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:22:06 +0500] "GET /week2lab/helloworld HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:22:07 +0500] "GET /week2lab/helloworld HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:24:39 +0500] "GET /week2lab/helloworld HTTP/1.1" 500 2386
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:25:01 +0500] "GET /week2lab/helloworld HTTP/1.1" 200 906
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:25:21 +0500] "GET /week2lab/helloworld HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:27:38 +0500] "GET /week2lab/helloworld HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [21/Sep/2022:18:27:41 +0500] "GET /week2lab/helloworld HTTP/1.1" 200 832
